"Input","Query"
"ülkeler tablosunda Ankara hangi ülkenin başkentidir","SELECT Country,CapitalName FROM capitals WHERE CapitalName=“Ankara”"
"ürünler tablosundan toka yı sil","DELETE FROM products WHERE category=”toka”"
"bölümler tablosundan yazılım bölümünde okuyan erkek öğrencilerin isimleri ve maillerini getir","SELECT programs.ProgramCode,programs.Name,students.Name,students.Mail FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Yazılım” AND Gender=”erkek”"
"Çiçekler tablosundan kaktüs ü rezene olarak değiştir","UPDATE flowers SET Name= 'rezene' WHERE Name= ‘kaktus’'"
"ülkeler tablosunda Paris hangi ülkenin başkentidir","SELECT Country,CapitalName FROM capitals WHERE CapitalName=“paris”"
"öğretmenler tablosundan sevgi sayar ı sil","DELETE FROM teachers WHERE Ad = 'sevgi sayar ';"
"kitaplar tablosunda can yayınlarına ait kitaplar nelerdir","SELECT pubHouse.PubName,books.Books_Name,books.PubNo FROM books INNER JOIN Yayınevi ON books.PubNo=pubHouse.PubNo WHERE PubName=""can yayınları"""
"filmler tablosundan Amerikan yapımı filmleri listele","SELECT * FROM films WHERE Country= 'Amerika';"
"ülkeler tablosunda berlin hangi ülkenin başkentidir","SELECT Country,CapitalName FROM capitals WHERE CapitalName=“Berlin”"
"unvanlar tablosundan tıbbi sekreter listesini getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Tıbbi Sekreter”"
"kitaplar tablosunda iş bankası yayınlarına ait kitapları listele","SELECT pubHouse.PubName,books.Books_Name,books.PubNo FROM books INNER JOIN Yayınevi ON books.PubNo=pubHouse.PubNo WHERE PubName=""iş bankası yayınları"""
"filmler tablosundan atıf yılmaz a ait filmleri listele","SELECT * FROM films WHERE Director = 'atıf yılmaz ';"
"dersler tablosunda hangi ders 2 kredilidir","SELECT * FROM lessons WHERE credit=2"
"ülkeler tablosunda tahran hangi ülkenin başkentidir","SELECT Country,CapitalName FROM capitals WHERE CapitalName=“tahran”"
"öğretmenler tablosundan derya ben i sil","DELETE FROM teachers WHERE Name= 'derya ben ';"
"ülkeler tablosunda nairobi hangi ülkenin başkentidir","SELECT Country,CapitalName FROM capitals WHERE CapitalName=“nairobi”"
"Çiçekler tablosundan fulya yı gül olarak güncelle","UPDATE flowers SET Name= 'gul' WHERE Name= ‘fulya’"
"ürünler tablosundan bardakları sil","DELETE FROM products WHERE category=”bardak”"
"bölümler tablosundan inşaat bölümündeki toplam erkek öğrenci sayısını göster","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”İnşaat” AND Gender=”erkek”"
"filmler tablosundaki komedi filmlerini listele","SELECT films.Name,ctegories.CategoryName FROM films INNER JOIN categories ON films.CategoryNo=categories.CategoryNo WHERE categories.Name=”Komedi”"
"öğretmenler tablosundan tahsin kahri isimli ögretmeni sil","DELETE FROM teachers WHERE Ad = 'tahsin kahri ';"
"Çiçekler tablosundan nane yi ı sünbül olarak güncelle","UPDATE flowers SET Name= 'sunbul' WHERE Name= ‘nane’"
"ürünler tablosunda kaç farklı çeşit ürün var","SELECT COUNT (DISTINCT ProductName) FROM products"
"müşteriler tablosundan ismi Ali ile başlayan kişilerin adreslerini getir","SELECT CustomerName,Address FROM customers WHERE CustomerName LIKE “Ali%”"
"öğrenciler tablosuna en son eklenen 5 kişiyi listele","SELECT * FROM students ORDER BY No DESC LIMIT 5;"
"hastalar tablosundan kan grubu AB olan kadın hastaları alfabetik listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”AB “ AND Gender =”kadın” ORDER BY patients.Name ASC"
"kitaplar tablosunda yayın tarihi 2018 den sonraki kitaplar nelerdir","SELECT Book_Name,DatePub FROM books WHERE DatePub>2018"
"hava durumları tablosunda sıcaklığı en düşük olan il","SELECT * FROM weatherConditions WHERE MIN(Temp)"
"Çiçekler tablosundan fulya yı nilüfer olarak güncelle","UPDATE flowers SET Name= ‘nilufer’ WHERE Name= ‘fulya’"
"ürünler tablosundan yumurtları sil","DELETE FROM products WHERE category=”yumurta”"
"ülkeler tablosunda kuala lumpur hangi ülkenin başkentidir","SELECT Country,CapitalName FROM capitals WHERE CapitalName=“kuala lumpur”"
"filmler tablosundan hangisinin imdb puani 7.1 ten daha yüksektir","SELECT * FROM Films WHERE Imdb_Score < 7.1"
"Çiçekler tablosundan fulya yı gül olarak güncelle","UPDATE flowers SET Name= 'gul' WHERE Name= ‘fulya’"
"müşteriler tablosundan ismi Esma ile başlayan kişilerin adreslerini getir","SELECT CustomerName,Address FROM customers WHERE CustomerName LIKE “Esma%”"
"hasta kabul tablosundan son 1 saatte gelen hastaları yazdır","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -1, GETDATE());"
"öğretmenler tablosundan can deniz hocayı sil","DELETE FROM teachers WHERE Name= ' can deniz ';"
"unvanlar tablosundan yemek personellerinin isimlerini işe giriş tarihine göre sırala","SELECT * FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Yemek Personeli"" ORDER BY Enrty_Date"
"Çiçekler tablosundan fulya yı nane olarak güncelle","UPDATE flowers SET Name= 'nanel' WHERE Name= ‘fulya’"
"Çiçekler tablosundan fulya yı sünbül olarak güncelle","UPDATE flowers SET Name= sunbul' WHERE Name= ‘fulya’"
"ülkeler tablosunda belgrad hangi ülkenin başkentidir","SELECT Country,CapitalName FROM capitals WHERE CapitalName=“belgrad”"
"hastalar tablosundan kan grubu AB olan kadın hastaları yazdır","SELECT * FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”AB “ AND Gender =”kadın”"
"ürünler tablosundan çikolataları sil","DELETE FROM products WHERE category=”cikolata”"
"Çiçekler tablosundan nane yi gül olarak güncelle","UPDATE flowers SET Name= 'gul' WHERE Name= ‘nane;"
"müşteriler tablosundan adı Ercan ile başlayan kişilerin adreslerini getir","SELECT CustomerName,Address FROM customers WHERE CustomerName LIKE “Ercan%”"
"ülkeler tablosunda rabat hangi ülkenin başkentidir","SELECT Country,,CapitalName FROM capitals WHERE CapitalName=“rabat”"
"Çiçekler tablosundan nane yi lale olarak güncelle","UPDATE flowers SET Name= 'lale' WHERE Name= ‘nane’"
"bölümler tablosundan inşaat bölümündeki erkek öğrencilerin isimleri ve maillerini göster","SELECT programs.ProgramCode,programs.Name,students.Name,students.Mail FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”İnşaat” AND Gender=”erkek”"
"müşteriler tablosundaki posta kodu 61000 olan müşteriler","SELECT * FROM Customers WHERE PostalCode= '61000'"
"unvanlar tablosundan yemek personellerinin isimlerini getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Yemek Personeli"""
"öğretmenler tablosundan selvi dös adlı kişiyi sil","DELETE FROM teachers WHERE Ad = ‘selvi dös';"
"filmler tablosunda imdb puanı en düşük ilk 3 filmleri yazdır","SELECT * FROM films ORDER BY Imdb_Score ASC LIMIT 3;"
"çalışanlar tablosundaki kadın çalışan sayısı kaçtır","SELECT COUNT(*) FROM employees WHERE Gender = ‘kadın’;"
"müşteriler tablosundaki Alerkekyadan olan müşterilerin listesi","SELECT * FROM customers WHERE Country =""Alerkekya"""
"Çiçekler tablosundan fulya yı kaktüs olarak güncelle","UPDATE flowers SET Name= 'kaktus' WHERE Name= ‘fulya’"
"dersler tablosunda hangi ders 5 kredilidir","SELECT * FROM lessons WHERE credit=5"
"ürünler tablosundaki fiyatı 200 olanları sil","DELETE FROM products WHERE Price= 200;"
"müşteriler tablosundaki Türkiyeden olan müşterilerin sayısı","SELECT COUNT (*) FROM customers WHERE Country =""Turkiye"""
"çalışanlar tablosundaki erkek çalışan sayısı kaçtır","SELECT COUNT(*) FROM employees WHERE Gender = 'erkek';"
"ürünler tablosundan cipsleri sil","DELETE FROM products WHERE category=”cips”"
"müşteriler tablosundaki Amerikadan olan müşterilerin sayısı kaçtır","SELECT * FROM customers WHERE Country =""Amerika"""
"siparişler tablosundaki 01 09 2023 tarihinde yapılan toplam sipariş sayısı","SELECT COUNT (*) FROM Orders WHERE OrderDate=""1997-01-16"""
"gönderici tablosundaki gönderici sayısı","SELECT COUNT(*) FROM Shippers"
"gönderici tablosundaki göndericiler","SELECT * FROM Shippers"
"ürünler tablosundaki fiyatı 100 olanları sil","DELETE FROM products WHERE Price= 100;"
"ürünler tablosundaki ali aktaş isimli tedarikçinin sağladığı ürünlerini göster","SELECT Products.ProductName,Suppliers.SupplierID FROM Products INNER JOIN Suppliers ON Products.SupplierID=Suppliers.SupplierID WHERE Suppliers.SupplierName=”Ali aktaş”"
"2000-2005 yılları arasında gönderici tablosundaki ali isimli gönderici siparişler tablosundaki kaç siparişi gönderdi?","SELECT * FROM Orders INNER JOIN Shippers on Orders.ShipperID=Shippers.ShipperID WHERE Shippers.ShipperName='Speedy Express' AND Orders.OrderDate BETWEEN '2000-01-01' AND '2005-12-31'"
"unvanlar tablosundan temizlik personellerinin isimlerini işe giriş tarihine göre sırala","SELECT * FROM titles INNER JOIN employees ON titles.TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" ORDER BY Entry_Date"
"ürünler tablosundaki Elif dokta isimli tedarikçinin i ürünleri nelerdir","SELECT * FROM Products INNER JOIN Suppliers ON Products.SupplierID=Suppliers.SupplierID WHERE Suppliers.SupplierName=”elif dokta”"
"öğretmenler tablosundan mehmet icar kisini sil","DELETE FROM teachers WHERE Name= mehmet icar ';"
"öğrenciler tablosundan murat tekinin tüm final notlarını göster","SELECT students.Name,notes.Final FROM students INNER JOIN notes ON students.No=notes.No WHERE students.Name=”Murat Tekin”"
"siparişler tablosundaki sipariş veren müşteriler tablosundaki müşterilerden kaçı Alerkekyadan?","SELECT COUNT(*) FROM Orders INNER JOIN Customers on Orders.CustomerID=Customers.CustomerID WHERE Country='Alerkekya'"
"siparişler tablosundaki sipariş veren müşterilerden Alerkekyadan olanların oranı","SELECT COUNT(*) * 100.0 / (SELECT COUNT(*) FROM Orders) FROM Customers WHERE Country = 'Alerkekya'"
"ürün tablosundaki Semra şile isimli tedarikçinin sağladığı ürünler nelerdir","SELECT Products.ProductName,Suppliers.SupplierID FROM Products INNER JOIN Suppliers ON Products.SupplierID=Suppliers.SupplierID WHERE Suppliers.SupplierName=”semra şile”"
"siparişler tablosundaki siparişlerden toplamda kaç tanesini müşteriler tablosundaki Alerkekyadan olan müşteriler sipariş verdi?","SELECT COUNT(*) FROM Orders INNER JOIN Customers on Orders.CustomerID=Customers.CustomerID WHERE Customers.Country='Alerkekya'"
"ürünler tablosundaki fiyatı 400 olan ürünleri sil","DELETE FROM products WHERE Price= 400;"
"siparişler tablosundaki siparişleri müşteriler tablosundaki kaç farklı ülkeden olan müşteriler sipariş verdi?","SELECT Count(Distinct(Customers.Country)) FROM Orders INNER JOIN Customers on Orders.CustomerID=Customers.CustomerID"
"ürünler tablosundaki tüm ürünleri sil","DELETE FROM products"
"filmler tablosunda imdb puanı en düşük son 3 filmleri listele","SELECT * FROM films ORDER BY Imdb_Score ASC LIMIT 3"
"sipariş detay tablosundaki siparişlerin ortalama sipariş miktarı kaçtır?","SELECT AVG(Quantity) FROM OrderDetails"
"hava durumları tablosunda en düşük sıcaklığa ait il hangisi","SELECT CityName FROM weatherConditions WHERE MIN(Temp)"
"sipariş detay tablosundaki en büyük sipariş miktarına sahip müşteri tablosundaki müşteri kim","SELECT * FROM Customers WHERE CustomerID= (SELECT CustomerID FROM Orders WHERE Orders.OrderID=(SELECT OrderID FROM OrderDetails WHERE Quantity= (SELECT MAX(Quantity) FROM OrderDetails)))"
"siparişler tablosundaki siparişlere göre müşteriler tablosundaki hiç sipariş vermeyen müşterileri listele","SELECT * FROM Customers WHERE CustomerID NOT IN (SELECT CustomerID FROM Orders)"
"ürün tablosundaki ekim meral isimli tedarikçinin sağladığı ürünleri listele","SELECT Products.ProductName,Suppliers.SupplierID FROM Products INNER JOIN Suppliers ON Products.SupplierID=Suppliers.SupplierID WHERE Suppliers.SupplierName=”ekim meral”"
"Müşteriler tablosundaki “Mehmet Ali” isimli müşterinin siparişler tablosundaki kaç tane siparişi mevcut?","SELECT COUNT(*) FROM Orders WHERE CustomerID = (SELECT CustomerID FROM Customers WHERE CustomerName='Mehmet Ali')"
"müşteriler tablosundaki “Mehmet Ali“ isimli kullanıcı nereli?","SELECT CustomerName,Address FROM customers WHERE CustomerName=""Mehmet Ali"""
"siparişler tablosundaki son edilen sipariş müşteriler tablosundaki hangi müşteriye ait","SELECT * FROM Customers WHERE CustomerID= (SELECT CustomerID FROM Orders ORDER BY OrderDate DESC LIMIT 1)"
"siparişler tablosundaki kaç tane sipariş 2000 yılına ait","SELECT COUNT(*) FROM Orders WHERE OrderDate between '2000-01-01' and '2000-12-31'"
"siparişler tablosunda en çok sipariş verilen yıl hangisi","SELECT YEAR(OrderDate) AS OrderYear, COUNT(*) AS NumOrders FROM Orders GROUP BY YEAR(OrderDate) ORDER BY NumOrders DESC COUNT(*) DESC LIMIT 1"
"ürünler tablosundaki fiyatı 200 den fazla olanları sil","DELETE FROM products WHERE Price > 200;"
"siparişler tablosundaki en çok hangi tedarikçi sipariş göndermiş","SELECT * FROM OrderDetails INNER JOIN Orders on OrderDetails.OrderID=Orders.OrderID INNER JOIN Products on OrderDetails.ProductID=Products.ProductID GROUP BY Products.SupplierID ORDER BY COUNT(*) DESC LIMIT 1"
"siparişler tablosundaki 24.sipariş hangi müşteriye ait","SELECT * FROM Orders ORDER BY OrderID LIMIT 1 OFFSET 23"
"siparişler tablosundaki en çok sipariş gönderen gönderici kim?","SELECT * FROM Shippers WHERE ShipperID = ( SELECT Orders.ShipperID FROM OrderDetails INNER JOIN Orders on OrderDetails.OrderID=Orders.OrderID INNER JOIN Products on OrderDetails.ProductID=Products.ProductID GROUP BY Orders.ShipperID ORDER BY COUNT(*) DESC LIMIT 1 )"
"siparişler tablosundaki 2000 yılından sonra en çok sipariş gönderen gönderici kim","SELECT Orders.ShipperID,COUNT(*) FROM OrderDetails INNER JOIN Orders on OrderDetails.OrderID=Orders.OrderID INNER JOIN Products on OrderDetails.ProductID=Products.ProductID WHERE Orders.OrderDate>'1996-12-31' GROUP BY Orders.ShipperID ORDER BY COUNT(*) DESC LIMIT 1"
"ürünler tablosundaki fiyatı 200 den aşağı olanları sil","DELETE FROM products WHERE Price< 200;"
"siparişler tablosundaki en az sipariş gönderen gönderici kim","SELECT * FROM Shippers WHERE ShipperID = (SELECT Orders.ShipperID FROM OrderDetails INNER JOIN Orders on OrderDetails.OrderID=Orders.OrderID INNER JOIN Products on OrderDetails.ProductID=Products.ProductID GROUP BY Orders.ShipperID ORDER BY COUNT(*) LIMIT 1 )"
"siparişler tablosunda en az 3 sipariş veren müşteri tablosundaki müşteri sayısı","SELECT COUNT(*) FROM Customers WHERE CustomerID IN (SELECT CustomerID FROM Orders GROUP BY CustomerID HAVING COUNT(*) >= 3)"
"öğretmenler tablosundan ayse kar ı sil","DELETE FROM teachers WHERE Ad = ‘ayse kar ';"
"siparişler tablosunda en az 3 sipariş gönderen gönderici sayısı","SELECT * FROM Shippers WHERE ShipperID in (SELECT Orders.ShipperID FROM OrderDetails INNER JOIN Orders on OrderDetails.OrderID=Orders.OrderID INNER JOIN Products on OrderDetails.ProductID=Products.ProductID GROUP BY Orders.ShipperID ORDER BY COUNT(*) LIMIT 3)"
"siparişler tablosunda en az 2 sipariş veren müşteriler hangi ülkelerden","SELECT DISTINCT(Country) FROM Customers WHERE CustomerID IN (SELECT CustomerID FROM Orders GROUP BY CustomerID HAVING COUNT(*) >= 3)"
"siparişler tablosunda son 10 yılda edilen sipariş sayısı","SELECT COUNT(*) FROM Orders WHERE YEAR(OrderDate) > YEAR(GETDATE()) - 10"
"sipariş detay tablosundaki en çok sipariş edilen ürün hangisi","SELECT ProductName, COUNT(*) FROM OrderDetails INNER JOIN Products on OrderDetails.ProductID=Products.ProductID GROUP BY ProductName ORDER BY COUNT(*) DESC"
"ürünler tablosundaki fiyatı 600 olanları sil","DELETE FROM products WHERE Price= 600;"
"sipariş detay tablosundaki ürün miktarının en az 35 olduğu sipariş sayısı","SELECT COUNT(*) FROM OrderDetails INNER JOIN Products on OrderDetails.ProductID=Products.ProductID INNER JOIN Orders on OrderDetails.OrderID=Orders.OrderID WHERE OrderDetails.Quantity>=35"
"sipariş detay tablosuna göre hangi siparişte kaç tane ürün sipariş verilmiş göster","SELECT OrderDetails.OrderID, SUM(OrderDetails.Quantity) FROM OrderDetails INNER JOIN Products on OrderDetails.ProductID=Products.ProductID INNER JOIN Orders on OrderDetails.OrderID=Orders.OrderID GROUP BY OrderDetails.OrderID"
